建築名稱,英文名稱,高度(m),樓層,東西寬(m),南北長(m),投影面積(m²),估算總樓地板面積(m²),結構類型,OSM建築類型,NLSC高度,NLSC建物ID,OSM ID
,,13.74,,23.4,12.3,268.3,,鋼筋混凝土(RC),yes,13.74,2CAXU72MP7,1120544149
,,13.72,,20.1,14.0,254.3,,磚造,house,13.72,2C94572KQ4,257198648
誠齋,Dormitory Cheng,13.68,,52.2,22.3,698.0,,鋼筋混凝土(RC),dormitory,13.68,2C39L72LG8,180522517
工程一館,Engineering Building 1,13.57,2,65.4,50.8,1744.1,3488.0,鋼筋混凝土(RC),university,13.57,2C7JU72HH8,134752428
,,13.49,,20.9,11.5,209.5,,磚造,house,13.49,2C90072KFJ,257198649
體育館,Gymnasium,13.33,2,59.5,48.8,2812.4,5625.0,鋼筋混凝土(RC),university,13.33,2C59572HPJ,134752203
,,13.2,,47.9,24.0,620.3,,鋼筋混凝土(RC),industrial,13.20,2CDGG7294M,188082609
第三招待所,3rd Guest House,12.68,3,48.8,48.3,1186.3,3559.0,鋼筋混凝土(RC),apartments,12.68,2C8PJ72J1J,203126707
,,12.67,,20.7,13.4,202.2,,磚造,house,12.67,2C93Q72L5L,257198639
防災工程研究中心,,12.64,2,64.6,12.8,766.6,1533.0,金屬/混合,university,12.64,2C7U772BLB,135992301
加速器館,Accelerator Building,12.4,,44.1,35.7,1287.7,,鋼筋混凝土(RC),university,12.40,2C1M272HSE,180607987
,,12.37,,27.1,26.1,318.8,,鋼筋混凝土(RC),yes,12.37,2C94M72M4J,375212708
第二宿舍,,12.36,,32.1,23.5,294.4,,鋼筋混凝土(RC),dormitory,12.36,2CB2B72KE1,1230260816
第一宿舍,,12.32,,39.4,33.5,476.8,,鋼筋混凝土(RC),dormitory,12.32,2CAGR72KWR,537351696
水質淨化廠,,12.28,2,50.6,34.3,1214.2,2428.0,鋼筋混凝土(RC),university,12.28,2C66F72KUC,158364450
桌球館,Table Tennis Court,12.27,,37.8,41.4,1493.2,,鋼筋混凝土(RC),university,12.27,2C12872PQG,180522512
華齋,Dormitory Hua,11.76,,38.6,12.8,433.3,,鋼筋混凝土(RC),dormitory,11.76,2C3KV72M02,180522510
,,11.75,,26.7,25.4,290.2,,鋼筋混凝土(RC),yes,11.75,2C8WX72M61,375212709
